Date,Views,Watch time (hours)
2022-08-12,11.0,0.2803
2022-08-11,46.0,2.2992
2022-08-10,22.0,1.3874
2022-08-09,67.0,2.9192
2022-08-08,52.0,2.493
2022-08-07,13.0,0.4379
2022-08-06,15.0,1.2052
2022-08-05,182.0,1.1954
2022-08-04,31.0,2.1948
2022-08-03,40.0,4.296
2022-08-02,14.0,1.2511
2022-08-01,51.0,5.2943
2022-07-31,12.0,0.4567
2022-07-30,41.0,3.0643
2022-07-29,71.0,6.969
2022-07-28,45.0,3.1652
2022-07-27,15.0,1.2877
2022-07-26,29.0,2.2474
2022-07-25,52.0,3.4781
2022-07-24,63.0,4.8976
2022-07-23,40.0,2.3871
2022-07-22,31.0,1.4473
2022-07-21,25.0,1.385
2022-07-20,21.0,1.3591
2022-07-19,39.0,1.6755
2022-07-18,41.0,3.6502
2022-07-17,33.0,2.5777
2022-07-16,7.0,0.5106
2022-07-15,15.0,1.3412
2022-07-14,20.0,2.3311
2022-07-13,25.0,1.9567
2022-07-12,30.0,1.9146
2022-07-11,24.0,1.2082
2022-07-10,34.0,1.6406
2022-07-09,12.0,0.814
2022-07-08,14.0,0.3548
2022-07-07,37.0,0.5932
2022-07-06,19.0,1.3914
2022-07-05,31.0,1.2846
2022-07-04,54.0,0.842
2022-07-03,49.0,3.2703
2022-07-02,54.0,0.9274
2022-07-01,8.0,0.6332
2022-06-30,8.0,0.5422
2022-06-29,53.0,2.9844
2022-06-28,43.0,3.9048
2022-06-27,28.0,2.7201
2022-06-26,32.0,2.6773
2022-06-25,61.0,2.368
2022-06-24,29.0,1.0666
2022-06-23,57.0,1.8415
